"","Especie","Y","X"
"178","Xiphophorus variatus",22.2,-97.916667
"179","Xiphophorus variatus",22.258333,-97.925
"180","Xiphophorus variatus",22.041667,-99.091667
"181","Xiphophorus variatus",23.3,-98.916667
"182","Xiphophorus variatus",21.5,-99.7
"183","Xiphophorus variatus",23.208333,-98.975
"184","Xiphophorus variatus",22.133333,-99.133333
"185","Xiphophorus variatus",21.308333,-98.258333
"186","Xiphophorus variatus",21.875,-98.508333
"187","Xiphophorus variatus",21.591667,-98.425
"188","Xiphophorus variatus",23.727957,-99.137566
"189","Xiphophorus variatus",23.234555,-98.814591
"190","Xiphophorus variatus",21.971841,-99.253449
"191","Xiphophorus variatus",24.516882,-99.3877
"192","Xiphophorus variatus",24.011987,-99.200402
"193","Xiphophorus variatus",20.916667,-97.75
"194","Xiphophorus variatus",20.583333,-97.666667
"195","Xiphophorus variatus",20.5,-97.833333
"196","Xiphophorus variatus",21.25,-97.833333
"197","Xiphophorus variatus",-16.583333,-72.733333
"198","Xiphophorus variatus",25.588,-100.189
"199","Xiphophorus variatus",20.8,-97.833333
"200","Xiphophorus variatus",21.416667,-97.666667
"201","Xiphophorus variatus",20,-96.7
"202","Xiphophorus variatus",20.25,-96.916667
"203","Xiphophorus variatus",21.354444,-101.927222
"204","Xiphophorus variatus",20.7,-97.366667
"205","Xiphophorus variatus",-25.697338,134.02277
